Date,City_name,Views
2021-04-28,Addis Ababa,0
2021-04-29,Addis Ababa,0
2021-04-30,Addis Ababa,0
2021-05-01,Addis Ababa,0
2021-05-02,Addis Ababa,0
2021-05-03,Addis Ababa,0
2021-05-04,Addis Ababa,0
2021-05-05,Addis Ababa,0
2021-05-06,Addis Ababa,0
2021-05-07,Addis Ababa,0
2021-05-08,Addis Ababa,0
2021-05-09,Addis Ababa,0
2021-05-10,Addis Ababa,0
2021-05-11,Addis Ababa,0
2021-05-12,Addis Ababa,0
2021-05-13,Addis Ababa,0
2021-05-14,Addis Ababa,0
2021-05-15,Addis Ababa,0
2021-05-16,Addis Ababa,0
2021-05-17,Addis Ababa,0
2021-05-18,Addis Ababa,0
2021-05-19,Addis Ababa,0
2021-05-20,Addis Ababa,0
2021-05-21,Addis Ababa,0
2021-05-22,Addis Ababa,0
2021-05-23,Addis Ababa,0
2021-05-24,Addis Ababa,0
2021-05-25,Addis Ababa,0
2021-05-26,Addis Ababa,0
2021-05-27,Addis Ababa,0
2021-05-28,Addis Ababa,0
2021-05-29,Addis Ababa,0
2021-05-30,Addis Ababa,0
2021-05-31,Addis Ababa,0
2021-06-01,Addis Ababa,0
2021-06-02,Addis Ababa,0
2021-06-03,Addis Ababa,0
2021-06-04,Addis Ababa,0
2021-06-05,Addis Ababa,0
2021-06-06,Addis Ababa,0
2021-06-07,Addis Ababa,0
2021-06-08,Addis Ababa,0
2021-06-09,Addis Ababa,0
2021-06-10,Addis Ababa,0
2021-06-11,Addis Ababa,0
2021-06-12,Addis Ababa,0
2021-06-13,Addis Ababa,0
2021-06-14,Addis Ababa,0
2021-06-15,Addis Ababa,0
2021-06-16,Addis Ababa,0
2021-06-17,Addis Ababa,0
2021-06-18,Addis Ababa,0
2021-06-19,Addis Ababa,0
2021-06-20,Addis Ababa,0
2021-06-21,Addis Ababa,0
2021-06-22,Addis Ababa,0
2021-06-23,Addis Ababa,0
2021-06-24,Addis Ababa,0
2021-06-25,Addis Ababa,0
2021-06-26,Addis Ababa,0
2021-06-27,Addis Ababa,0
2021-06-28,Addis Ababa,0
2021-06-29,Addis Ababa,0
2021-06-30,Addis Ababa,0
2021-07-01,Addis Ababa,0
2021-07-02,Addis Ababa,0
2021-07-03,Addis Ababa,0
2021-07-04,Addis Ababa,0
2021-07-05,Addis Ababa,0
2021-07-06,Addis Ababa,0
2021-07-07,Addis Ababa,0
2021-07-08,Addis Ababa,0
2021-07-09,Addis Ababa,0
2021-07-10,Addis Ababa,0
2021-07-11,Addis Ababa,0
2021-07-12,Addis Ababa,31
2021-07-13,Addis Ababa,0
2021-07-14,Addis Ababa,0
2021-07-15,Addis Ababa,0
2021-07-16,Addis Ababa,0
2021-07-17,Addis Ababa,0
2021-07-18,Addis Ababa,0
2021-07-19,Addis Ababa,0
2021-07-20,Addis Ababa,0
2021-07-21,Addis Ababa,0
2021-07-22,Addis Ababa,0
2021-07-23,Addis Ababa,0
2021-07-24,Addis Ababa,0
2021-07-25,Addis Ababa,0
2021-07-26,Addis Ababa,0
2021-07-27,Addis Ababa,0
2021-07-28,Addis Ababa,0
2021-07-29,Addis Ababa,0
2021-07-30,Addis Ababa,0
2021-07-31,Addis Ababa,0
2021-08-01,Addis Ababa,0
2021-08-02,Addis Ababa,0
2021-08-03,Addis Ababa,0
2021-08-04,Addis Ababa,0
2021-08-05,Addis Ababa,0
2021-08-06,Addis Ababa,0
2021-08-07,Addis Ababa,0
2021-08-08,Addis Ababa,0
2021-08-09,Addis Ababa,0
2021-08-10,Addis Ababa,0
2021-08-11,Addis Ababa,0
2021-08-12,Addis Ababa,0
2021-08-13,Addis Ababa,0
2021-08-14,Addis Ababa,0
2021-08-15,Addis Ababa,0
2021-08-16,Addis Ababa,0
2021-08-17,Addis Ababa,0
2021-08-18,Addis Ababa,19
2021-08-19,Addis Ababa,0
2021-08-20,Addis Ababa,0
2021-08-21,Addis Ababa,0
2021-08-22,Addis Ababa,0
2021-08-23,Addis Ababa,0
2021-08-24,Addis Ababa,0
2021-08-25,Addis Ababa,0
2021-08-26,Addis Ababa,0
2021-08-27,Addis Ababa,0
2021-08-28,Addis Ababa,0
2021-08-29,Addis Ababa,0
2021-08-30,Addis Ababa,0
2021-08-31,Addis Ababa,0
2021-09-01,Addis Ababa,0
2021-09-02,Addis Ababa,0
2021-09-03,Addis Ababa,0
2021-09-04,Addis Ababa,0
2021-09-05,Addis Ababa,0
2021-09-06,Addis Ababa,11
2021-09-07,Addis Ababa,0
2021-09-08,Addis Ababa,0
2021-09-09,Addis Ababa,0
2021-09-10,Addis Ababa,0
2021-09-11,Addis Ababa,0
2021-09-12,Addis Ababa,0
2021-09-13,Addis Ababa,0
2021-09-14,Addis Ababa,0
2021-09-15,Addis Ababa,0
2021-09-16,Addis Ababa,0
2021-09-17,Addis Ababa,0
2021-09-18,Addis Ababa,0
2021-09-19,Addis Ababa,0
2021-09-20,Addis Ababa,0
2021-09-21,Addis Ababa,0
2021-09-22,Addis Ababa,0
2021-09-23,Addis Ababa,0
2021-09-24,Addis Ababa,0
2021-09-25,Addis Ababa,0
2021-09-26,Addis Ababa,0
2021-09-27,Addis Ababa,0
2021-09-28,Addis Ababa,0
2021-09-29,Addis Ababa,0
2021-09-30,Addis Ababa,0
2021-10-01,Addis Ababa,0
2021-10-02,Addis Ababa,0
2021-10-03,Addis Ababa,0
2021-10-04,Addis Ababa,0
2021-10-05,Addis Ababa,0
2021-10-06,Addis Ababa,0
2021-10-07,Addis Ababa,0
2021-10-08,Addis Ababa,0
2021-10-09,Addis Ababa,0
2021-10-10,Addis Ababa,0
2021-10-11,Addis Ababa,0
2021-10-12,Addis Ababa,0
2021-10-13,Addis Ababa,0
2021-10-14,Addis Ababa,0
2021-10-15,Addis Ababa,0
2021-10-16,Addis Ababa,0
2021-10-17,Addis Ababa,0
2021-10-18,Addis Ababa,0
2021-10-19,Addis Ababa,0
2021-10-20,Addis Ababa,0
2021-10-21,Addis Ababa,0
2021-10-22,Addis Ababa,0
2021-10-23,Addis Ababa,0
2021-10-24,Addis Ababa,0
2021-10-25,Addis Ababa,0
2021-10-26,Addis Ababa,0
2021-10-27,Addis Ababa,0
2021-10-28,Addis Ababa,0
2021-10-29,Addis Ababa,0
2021-10-30,Addis Ababa,0
2021-10-31,Addis Ababa,0
2021-11-01,Addis Ababa,0
2021-11-02,Addis Ababa,0
2021-11-03,Addis Ababa,0
2021-11-04,Addis Ababa,0
2021-11-05,Addis Ababa,0
2021-11-06,Addis Ababa,0
2021-11-07,Addis Ababa,0
2021-11-08,Addis Ababa,0
2021-11-09,Addis Ababa,0
2021-11-10,Addis Ababa,0
2021-11-11,Addis Ababa,0
2021-11-12,Addis Ababa,0
2021-11-13,Addis Ababa,0
2021-11-14,Addis Ababa,0
2021-11-15,Addis Ababa,0
2021-11-16,Addis Ababa,0
2021-11-17,Addis Ababa,0
2021-11-18,Addis Ababa,0
2021-11-19,Addis Ababa,0
2021-11-20,Addis Ababa,0
